n features,dimensions,c,iterations
100,2,0.1,2
100,2,0.1,4
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,13
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,4
100,2,0.1,4
100,2,0.1,3
100,2,0.1,8
100,2,0.1,3
100,2,0.1,150
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,5
100,2,0.1,14
100,2,0.1,3
100,2,0.1,7
100,2,0.1,2
100,2,0.1,6
100,2,0.1,4
100,2,0.1,3
100,2,0.1,3
100,2,0.1,3
100,2,0.1,8
100,2,0.1,6
100,2,0.1,2
100,2,0.1,10
100,2,0.1,24
100,2,0.1,2
100,2,0.1,11
100,2,0.1,2
100,2,0.1,3
100,2,0.1,6
100,2,0.1,3
100,2,0.1,4
100,2,0.1,7
100,2,0.1,5
100,2,0.1,3
100,2,0.1,7
100,2,0.1,5
100,2,0.1,2
100,2,0.1,2
100,2,0.1,21
100,2,0.1,3
100,2,0.1,4
100,2,0.1,4
100,2,0.1,4
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,15
100,2,0.1,2
100,2,0.1,6
100,2,0.1,3
100,2,0.1,22
100,2,0.1,6
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,11
100,2,0.1,2
100,2,0.1,4
100,2,0.1,2
100,2,0.1,5
100,2,0.1,3
100,2,0.1,3
100,2,0.1,5
100,2,0.1,5
100,2,0.1,2
100,2,0.1,6
100,2,0.1,2
100,2,0.1,6
100,2,0.1,3
100,2,0.1,6
100,2,0.1,4
100,2,0.1,2
100,2,0.1,4
100,2,0.1,5
100,2,0.1,3
100,2,0.1,2
100,2,0.1,6
100,2,0.1,11
100,2,0.1,2
100,2,0.1,9
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,4
100,2,0.1,11
100,2,0.1,4
100,2,0.1,14
100,2,0.1,2
100,2,0.1,5
100,2,0.1,2
100,2,0.1,4
100,2,0.1,5
100,2,0.1,6
100,2,0.1,2
100,2,0.1,23
100,2,0.1,5
100,2,0.1,4
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,3
100,2,0.1,3
100,2,0.1,2
100,2,0.1,5
100,2,0.1,2
100,2,0.1,3
100,2,0.1,3
100,2,0.1,3
100,2,0.1,3
100,2,0.1,3
100,2,0.1,3
100,2,0.1,3
100,2,0.1,4
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,7
100,2,0.1,3
100,2,0.1,2
100,2,0.1,29
100,2,0.1,2
100,2,0.1,2
100,2,0.1,6
100,2,0.1,3
100,2,0.1,5
100,2,0.1,2
100,2,0.1,2
100,2,0.1,13
100,2,0.1,2
100,2,0.1,10
100,2,0.1,4
100,2,0.1,4
100,2,0.1,4
100,2,0.1,3
100,2,0.1,2
100,2,0.1,945
100,2,0.1,3
100,2,0.1,4
100,2,0.1,4
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,5
100,2,0.1,2
100,2,0.1,3
100,2,0.1,9
100,2,0.1,3
100,2,0.1,5
100,2,0.1,2
100,2,0.1,3
100,2,0.1,9
100,2,0.1,2
100,2,0.1,2
100,2,0.1,6
100,2,0.1,2
100,2,0.1,6
100,2,0.1,2
100,2,0.1,12
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,3
100,2,0.1,4
100,2,0.1,6
100,2,0.1,4
100,2,0.1,2
100,2,0.1,3
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,6
100,2,0.1,3
100,2,0.1,6
100,2,0.1,2
100,2,0.1,16
100,2,0.1,58
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,5
100,2,0.1,2
100,2,0.1,2
100,2,0.1,9
100,2,0.1,2
100,2,0.1,4
100,2,0.1,13
100,2,0.1,5
100,2,0.1,18
100,2,0.1,16
100,2,0.1,3
100,2,0.1,85
100,2,0.1,15
100,2,0.1,5
100,2,0.1,3
100,2,0.1,3
100,2,0.1,57
100,2,0.1,2
100,2,0.1,3
100,2,0.1,8
100,2,0.1,6
100,2,0.1,7
100,2,0.1,2
100,2,0.1,4
100,2,0.1,34
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,18
100,2,0.1,8
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,4
100,2,0.1,2
100,2,0.1,9
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,16
100,2,0.1,4
100,2,0.1,5
100,2,0.1,4
100,2,0.1,35
100,2,0.1,8
100,2,0.1,8
100,2,0.1,9
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,6
100,2,0.1,2
100,2,0.1,19
100,2,0.1,3
100,2,0.1,2
100,2,0.1,5
100,2,0.1,5
100,2,0.1,3
100,2,0.1,8
100,2,0.1,12
100,2,0.1,3
100,2,0.1,2
100,2,0.1,7
100,2,0.1,4
100,2,0.1,7
100,2,0.1,6
100,2,0.1,2
100,2,0.1,4
100,2,0.1,6
100,2,0.1,11
100,2,0.1,7
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,6
100,2,0.1,2
100,2,0.1,2
100,2,0.1,4
100,2,0.1,2
100,2,0.1,32
100,2,0.1,3
100,2,0.1,2
100,2,0.1,50
100,2,0.1,125
100,2,0.1,5
100,2,0.1,2
100,2,0.1,2
100,2,0.1,24
100,2,0.1,2
100,2,0.1,59
100,2,0.1,10
100,2,0.1,9
100,2,0.1,3
100,2,0.1,313
100,2,0.1,4
100,2,0.1,4
100,2,0.1,3
100,2,0.1,7
100,2,0.1,8
100,2,0.1,10
100,2,0.1,29
100,2,0.1,3
100,2,0.1,4
100,2,0.1,2
100,2,0.1,6
100,2,0.1,3
100,2,0.1,2
100,2,0.1,9
100,2,0.1,11
100,2,0.1,2
100,2,0.1,49
100,2,0.1,4
100,2,0.1,8
100,2,0.1,2
100,2,0.1,9
100,2,0.1,8
100,2,0.1,3
100,2,0.1,6
100,2,0.1,3
100,2,0.1,3
100,2,0.1,4
100,2,0.1,7
100,2,0.1,4
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,5
100,2,0.1,18
100,2,0.1,46
100,2,0.1,9560
100,2,0.1,25
100,2,0.1,3
100,2,0.1,33
100,2,0.1,3
100,2,0.1,2
100,2,0.1,4
100,2,0.1,2
100,2,0.1,8
100,2,0.1,2
100,2,0.1,6
100,2,0.1,5
100,2,0.1,2
100,2,0.1,4
100,2,0.1,3
100,2,0.1,8
100,2,0.1,3
100,2,0.1,6
100,2,0.1,2
100,2,0.1,2
100,2,0.1,9
100,2,0.1,12
100,2,0.1,57
100,2,0.1,3
100,2,0.1,6
100,2,0.1,2
100,2,0.1,4
100,2,0.1,2
100,2,0.1,4
100,2,0.1,2
100,2,0.1,4
100,2,0.1,18
100,2,0.1,2
100,2,0.1,20
100,2,0.1,2
100,2,0.1,5
100,2,0.1,6
100,2,0.1,3
100,2,0.1,6
100,2,0.1,8
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,4
100,2,0.1,30
100,2,0.1,8
100,2,0.1,4
100,2,0.1,13
100,2,0.1,7
100,2,0.1,2
100,2,0.1,2
100,2,0.1,38
100,2,0.1,5
100,2,0.1,4
100,2,0.1,4
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,5
100,2,0.1,2
100,2,0.1,2
100,2,0.1,4
100,2,0.1,24
100,2,0.1,9
100,2,0.1,3
100,2,0.1,2
100,2,0.1,5
100,2,0.1,4
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,16
100,2,0.1,2
100,2,0.1,2
100,2,0.1,12
100,2,0.1,4
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,25
100,2,0.1,2
100,2,0.1,2
100,2,0.1,4
100,2,0.1,2
100,2,0.1,4
100,2,0.1,23
100,2,0.1,2
100,2,0.1,2
100,2,0.1,5
100,2,0.1,3
100,2,0.1,9
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,4
100,2,0.1,6
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,9
100,2,0.1,3
100,2,0.1,6
100,2,0.1,2
100,2,0.1,3
100,2,0.1,3
100,2,0.1,4
100,2,0.1,3
100,2,0.1,16
100,2,0.1,2
100,2,0.1,6
100,2,0.1,8
100,2,0.1,4
100,2,0.1,2
100,2,0.1,2
100,2,0.1,4
100,2,0.1,4
100,2,0.1,6
100,2,0.1,108
100,2,0.1,3
100,2,0.1,6
100,2,0.1,4
100,2,0.1,215
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,7
100,2,0.1,5
100,2,0.1,2
100,2,0.1,3
100,2,0.1,3
100,2,0.1,7
100,2,0.1,3
100,2,0.1,5
100,2,0.1,2
100,2,0.1,3
100,2,0.1,3
100,2,0.1,3
100,2,0.1,2
100,2,0.1,22
100,2,0.1,6
100,2,0.1,2
100,2,0.1,4
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,3
100,2,0.1,4
100,2,0.1,18
100,2,0.1,3
100,2,0.1,3
100,2,0.1,4
100,2,0.1,5
100,2,0.1,5
100,2,0.1,2
100,2,0.1,2
100,2,0.1,5
100,2,0.1,11
100,2,0.1,68
100,2,0.1,8
100,2,0.1,6
100,2,0.1,11
100,2,0.1,6
100,2,0.1,3
100,2,0.1,61
100,2,0.1,5
100,2,0.1,4
100,2,0.1,2
100,2,0.1,4
100,2,0.1,5
100,2,0.1,4
100,2,0.1,4
100,2,0.1,6
100,2,0.1,2
100,2,0.1,4
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,5
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,5
100,2,0.1,3
100,2,0.1,7
100,2,0.1,3
100,2,0.1,3
100,2,0.1,6
100,2,0.1,2
100,2,0.1,4
100,2,0.1,3
100,2,0.1,22
100,2,0.1,5
100,2,0.1,3
100,2,0.1,2
100,2,0.1,5
100,2,0.1,2
100,2,0.1,2
100,2,0.1,3
100,2,0.1,3
100,2,0.1,44
100,2,0.1,6
100,2,0.1,3
100,2,0.1,5
100,2,0.1,7
100,2,0.1,2
100,2,0.1,3
100,2,0.1,7
100,2,0.1,4
100,2,0.1,33
100,2,0.1,6
100,2,0.1,5
100,2,0.1,2
100,2,0.1,5
100,2,0.1,2
100,2,0.1,10
100,2,0.1,6
100,2,0.1,3
100,2,0.1,4
100,2,0.1,4
100,2,0.1,3
100,2,0.1,11
100,2,0.1,2
100,2,0.1,3
100,2,0.1,4
100,2,0.1,2
100,2,0.1,17
100,2,0.1,2
100,2,0.1,12
100,2,0.1,3
100,2,0.1,5
100,2,0.1,2
100,2,0.1,26
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,4
100,2,0.1,4
100,2,0.1,2
100,2,0.1,2
100,2,0.1,10
100,2,0.1,4
100,2,0.1,8
100,2,0.1,5
100,2,0.1,12
100,2,0.1,2
100,2,0.1,27
100,2,0.1,3
100,2,0.1,2
100,2,0.1,7
100,2,0.1,2
100,2,0.1,2
100,2,0.1,8
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,2
100,2,0.1,4
100,2,0.1,4
100,2,0.1,4
100,2,0.1,2
100,2,0.1,2
100,2,0.1,8
100,2,0.1,2
100,2,0.1,3
100,2,0.1,5
100,2,0.1,3
100,2,0.1,10
100,2,0.1,9
100,2,0.1,5
100,2,0.1,4
100,2,0.1,9
100,2,0.1,2
100,2,0.1,3
100,2,0.1,2
100,2,0.1,19
100,2,0.1,3
100,2,0.1,3
100,2,0.1,6
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,13
100,2,0.1,2
100,2,0.1,4
100,2,0.1,3
100,2,0.1,3
100,2,0.1,3
100,2,0.1,2
100,2,0.1,9
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,2
100,2,0.1,11
100,2,0.1,2
100,2,0.1,4
100,2,0.1,4
100,2,0.1,3
100,2,0.1,18
100,2,0.1,4
100,2,0.1,12
100,2,0.1,2
100,2,0.1,3
100,2,0.1,3
100,2,0.1,10
100,2,0.1,4
100,2,0.1,4
100,2,0.1,9
100,2,0.1,3
100,2,0.1,4
100,2,0.1,4
100,2,0.1,2
100,2,0.1,3
100,2,0.1,8
100,2,0.1,2
100,2,0.1,5
100,2,0.1,6
100,2,0.1,6
100,2,0.1,5
