n features,dimensions,c,iterations
100,2,0.2,566
100,2,0.2,11
100,2,0.2,98
100,2,0.2,4
100,2,0.2,56
100,2,0.2,1061
100,2,0.2,10000
100,2,0.2,8
100,2,0.2,55
100,2,0.2,48
100,2,0.2,7
100,2,0.2,11
100,2,0.2,8
100,2,0.2,1106
100,2,0.2,397
100,2,0.2,14
100,2,0.2,2
100,2,0.2,5
100,2,0.2,4
100,2,0.2,13
100,2,0.2,32
100,2,0.2,274
100,2,0.2,325
100,2,0.2,31
100,2,0.2,206
100,2,0.2,190
100,2,0.2,8
100,2,0.2,275
100,2,0.2,5
100,2,0.2,3
100,2,0.2,79
100,2,0.2,489
100,2,0.2,79
100,2,0.2,32
100,2,0.2,25
100,2,0.2,227
100,2,0.2,2028
100,2,0.2,16
100,2,0.2,42
100,2,0.2,135
100,2,0.2,199
100,2,0.2,46
100,2,0.2,5
100,2,0.2,3
100,2,0.2,2
100,2,0.2,44
100,2,0.2,17
100,2,0.2,4
100,2,0.2,75
100,2,0.2,10
100,2,0.2,8
100,2,0.2,160
100,2,0.2,5
100,2,0.2,142
100,2,0.2,7
100,2,0.2,9
100,2,0.2,29
100,2,0.2,9
100,2,0.2,104
100,2,0.2,195
100,2,0.2,6
100,2,0.2,4
100,2,0.2,3
100,2,0.2,27
100,2,0.2,6
100,2,0.2,35
100,2,0.2,4
100,2,0.2,3
100,2,0.2,21
100,2,0.2,43
100,2,0.2,2801
100,2,0.2,637
100,2,0.2,140
100,2,0.2,198
100,2,0.2,7
100,2,0.2,114
100,2,0.2,172
100,2,0.2,4
100,2,0.2,2
100,2,0.2,201
100,2,0.2,12
100,2,0.2,1763
100,2,0.2,27
100,2,0.2,11
100,2,0.2,178
100,2,0.2,36
100,2,0.2,36
100,2,0.2,5
100,2,0.2,19
100,2,0.2,36
100,2,0.2,15
100,2,0.2,80
100,2,0.2,4
100,2,0.2,29
100,2,0.2,41
100,2,0.2,30
100,2,0.2,5
100,2,0.2,3
100,2,0.2,33
100,2,0.2,155
100,2,0.2,282
100,2,0.2,86
100,2,0.2,3
100,2,0.2,13
100,2,0.2,25
100,2,0.2,8
100,2,0.2,123
100,2,0.2,68
100,2,0.2,6
100,2,0.2,9
100,2,0.2,5
100,2,0.2,6
100,2,0.2,2681
100,2,0.2,1626
100,2,0.2,504
100,2,0.2,178
100,2,0.2,12
100,2,0.2,11
100,2,0.2,4
100,2,0.2,35
100,2,0.2,5
100,2,0.2,16
100,2,0.2,5
100,2,0.2,149
100,2,0.2,5
100,2,0.2,5
100,2,0.2,238
100,2,0.2,45
100,2,0.2,628
100,2,0.2,1305
100,2,0.2,3
100,2,0.2,73
100,2,0.2,1523
100,2,0.2,5
100,2,0.2,10
100,2,0.2,202
100,2,0.2,3
100,2,0.2,138
100,2,0.2,12
100,2,0.2,10000
100,2,0.2,9
100,2,0.2,16
100,2,0.2,81
100,2,0.2,165
100,2,0.2,3
100,2,0.2,32
100,2,0.2,184
100,2,0.2,798
100,2,0.2,127
