n features,dimensions,c,iterations
100,2,1,2
100,2,1,3
100,2,1,3
100,2,1,2
100,2,1,12
100,2,1,7
100,2,1,2
100,2,1,2
100,2,1,2
100,2,1,2
100,2,1,4
100,2,1,2
100,2,1,7
100,2,1,3
100,2,1,4
100,2,1,3
100,2,1,3
100,2,1,4
100,2,1,3
100,2,1,2
100,2,1,2
100,2,1,7
100,2,1,5
100,2,1,4
100,2,1,3
100,2,1,7
100,2,1,2
100,2,1,4
100,2,1,3
100,2,1,3
100,2,1,20
100,2,1,7
100,2,1,2
100,2,1,17
100,2,1,2
100,2,1,14
100,2,1,6
100,2,1,2
100,2,1,4
100,2,1,7
100,2,1,3
100,2,1,6
100,2,1,3
100,2,1,13
100,2,1,3
100,2,1,2
100,2,1,3
100,2,1,3
100,2,1,2
100,2,1,2
100,2,1,3
100,2,1,2
100,2,1,4
100,2,1,20
100,2,1,5
100,2,1,2
100,2,1,7
100,2,1,2
100,2,1,2
100,2,1,3
100,2,1,2
100,2,1,4
100,2,1,4
100,2,1,3
100,2,1,63
100,2,1,3
100,2,1,2
100,2,1,7
100,2,1,6
100,2,1,3
100,2,1,6
100,2,1,4
100,2,1,39
100,2,1,6
100,2,1,2
100,2,1,2
100,2,1,3
100,2,1,5
100,2,1,2
100,2,1,4
100,2,1,5
100,2,1,3
100,2,1,6
100,2,1,10
100,2,1,16
100,2,1,3
100,2,1,3
100,2,1,5
100,2,1,3
100,2,1,2
100,2,1,3
100,2,1,16
100,2,1,49
100,2,1,4
100,2,1,2
100,2,1,4
100,2,1,3
100,2,1,4
100,2,1,15
100,2,1,2
100,2,1,2
100,2,1,5
100,2,1,2
100,2,1,4
100,2,1,7
100,2,1,5
100,2,1,2
100,2,1,2
100,2,1,2
100,2,1,2
100,2,1,5
100,2,1,4
100,2,1,3
100,2,1,3
100,2,1,3
100,2,1,4
100,2,1,3
100,2,1,4
100,2,1,4
100,2,1,9
100,2,1,2
100,2,1,4
100,2,1,2
100,2,1,4
100,2,1,2
100,2,1,2
100,2,1,8
100,2,1,8
100,2,1,7
100,2,1,2
100,2,1,61
100,2,1,2
