n features,dimensions,c,iterations
10,2,1,2
10,2,1,37
10,2,1,2
10,2,1,10
10,2,1,2
10,2,1,6
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,6
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,3
10,2,1,4
10,2,1,4
10,2,1,18
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,3
10,2,1,22
10,2,1,2
10,2,1,11
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,8
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,5
10,2,1,5
10,2,1,3
10,2,1,2
10,2,1,4
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,4
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,13
10,2,1,10
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,7
10,2,1,2
10,2,1,2
10,2,1,6
10,2,1,3
10,2,1,6
10,2,1,9
10,2,1,3
10,2,1,4
10,2,1,3
10,2,1,5
10,2,1,2
10,2,1,5
10,2,1,2
10,2,1,13
10,2,1,2
10,2,1,3
10,2,1,6
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,5
10,2,1,3
10,2,1,2
10,2,1,10
10,2,1,2
10,2,1,2
10,2,1,5
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,7
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,3
10,2,1,4
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,17
10,2,1,2
10,2,1,2
10,2,1,47
10,2,1,2
10,2,1,9
10,2,1,3
10,2,1,15
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,10
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,5
10,2,1,2
10,2,1,2
10,2,1,4
10,2,1,2
10,2,1,6
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,6
10,2,1,8
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,5
10,2,1,4
10,2,1,26
10,2,1,2
10,2,1,6
10,2,1,4
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,4
10,2,1,4
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,5
10,2,1,2
10,2,1,3
10,2,1,10
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,4
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,5
10,2,1,2
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,87
10,2,1,4
10,2,1,6
10,2,1,2
10,2,1,2
10,2,1,4
10,2,1,2
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,4
10,2,1,2
10,2,1,7
10,2,1,3
10,2,1,4
10,2,1,4
10,2,1,4
10,2,1,4
10,2,1,4
10,2,1,2
10,2,1,3
10,2,1,42
10,2,1,5
10,2,1,13
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,4
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,4
10,2,1,3
10,2,1,6
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,4
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,4
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,4
10,2,1,2
10,2,1,6
10,2,1,3
10,2,1,2
10,2,1,13
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,4
10,2,1,10
10,2,1,2
10,2,1,5
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,5
10,2,1,4
10,2,1,3
10,2,1,13
10,2,1,22
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,6
10,2,1,18
10,2,1,7
10,2,1,2
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,4
10,2,1,12
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,5
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,4
10,2,1,5
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,8
10,2,1,3
10,2,1,5
10,2,1,4
10,2,1,3
10,2,1,3
10,2,1,12
10,2,1,3
10,2,1,4
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,25
10,2,1,2
10,2,1,4
10,2,1,2
10,2,1,2
10,2,1,47
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,5
10,2,1,2
10,2,1,2
10,2,1,4
10,2,1,4
10,2,1,2
10,2,1,3
10,2,1,32
10,2,1,5
10,2,1,4
10,2,1,4
10,2,1,2
10,2,1,4
10,2,1,12
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,4
10,2,1,3
10,2,1,2
10,2,1,6
10,2,1,2
10,2,1,8
10,2,1,16
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,4
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,6
10,2,1,5
10,2,1,11
10,2,1,4
10,2,1,2
10,2,1,2
10,2,1,6
10,2,1,2
10,2,1,4
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,17
10,2,1,3
10,2,1,3
10,2,1,4
10,2,1,2
10,2,1,4
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,28
10,2,1,4
10,2,1,5
10,2,1,3
10,2,1,3
10,2,1,4
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,8
10,2,1,3
10,2,1,5
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,7
10,2,1,3
10,2,1,2
10,2,1,4
10,2,1,3
10,2,1,3
10,2,1,5
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,2
10,2,1,3
10,2,1,3
10,2,1,2
10,2,1,4
